Char   Codepoint     Frequency
歎      U+06B4E           7166
圓      U+05713           7150
列      U+05217           7140
蝶      U+08776           7139
午      U+05348           7138
宇      U+05B87           7127
利      U+05229           7124
淵      U+06DF5           7124
母      U+06BCD           7105
浦      U+06D66           7094
蓋      U+084CB           7091
豐      U+08C50           7074
延      U+05EF6           7055
盧      U+076E7           7053
禁      U+07981           7015
昭      U+0662D           7009
茫      U+0832B           7007
索      U+07D22           6984
賓      U+08CD3           6977
冥      U+051A5           6975
闲      U+095F2           6972
耕      U+08015           6959
袖      U+08896           6958
錫      U+0932B           6944
達      U+09054           6936
歷      U+06B77           6935
彥      U+05F65           6908
雞      U+096DE           6906
掩      U+063A9           6873
怪      U+0602A           6851
康      U+05EB7           6838
难      U+096BE           6837
揚      U+063DA           6804
荆      U+08346           6793
晁      U+06641           6792
境      U+05883           6789
间      U+095F4           6766
盈      U+076C8           6763
判      U+05224           6745
昨      U+06628           6729
蔡      U+08521           6723
崇      U+05D07           6718
左      U+05DE6           6709
避      U+0907F           6693
粉      U+07C89           6678
还      U+08FD8           6677
暑      U+06691           6672
益      U+076CA           6665
途      U+09014           6661
竟      U+07ADF           6657
退      U+09000           6652
潮      U+06F6E           6636
门      U+095E8           6621
葛      U+0845B           6620
儀      U+05100           6617
稀      U+07A00           6597
问      U+095EE           6595
肅      U+08085           6590
棲      U+068F2           6587
侵      U+04FB5           6570
紀      U+07D00           6553
薛      U+0859B           6549
遙      U+09059           6548
熟      U+0719F           6546
并      U+05E76           6536
轻      U+08F7B           6532
晝      U+0665D           6516
熙      U+07199           6515
策      U+07B56           6514
奈      U+05948           6514
幕      U+05E55           6485
蒲      U+084B2           6477
縱      U+07E31           6474
戰      U+06230           6473
渠      U+06E20           6472
施      U+065BD           6470
哀      U+054C0           6459
远      U+08FDC           6449
體      U+09AD4           6446
漸      U+06F38           6433
濟      U+06FDF           6429
駕      U+099D5           6428
編      U+07DE8           6428
忍      U+05FCD           6427
養      U+0990A           6416
叢      U+053E2           6394
仰      U+04EF0           6391
話      U+08A71           6391
宅      U+05B85           6388
愧      U+06127           6377
旧      U+065E7           6358
宵      U+05BB5           6341
调      U+08C03           6319
社      U+0793E           6318
过      U+08FC7           6306
渾      U+06E3E           6301
溫      U+06EAB           6295
添      U+06DFB           6295
着      U+07740           6292
丁      U+04E01           6287
沉      U+06C89           6286
绿      U+07EFF           6278
乐      U+04E50           6261
壯      U+058EF           6250
华      U+0534E           6239
軾      U+08EFE           6228
携      U+0643A           6208
翰      U+07FF0           6201
酌      U+0914C           6184
雍      U+096CD           6172
霄      U+09704           6155
治      U+06CBB           6153
帆      U+05E06           6150
彼      U+05F7C           6147
滄      U+06EC4           6146
改      U+06539           6143
付      U+04ED8           6142
量      U+091CF           6118
涼      U+06DBC           6084
开      U+05F00           6070
羞      U+07F9E           6056
妨      U+059A8           6050
調      U+08ABF           6032
穿      U+07A7F           6028
邵      U+090B5           6028
勿      U+052FF           6023
厭      U+053AD           6023
宫      U+05BAB           6017
雅      U+096C5           6011
銀      U+09280           6008
群      U+07FA4           6006
誠      U+08AA0           6000
鐘      U+09418           5998
瘦      U+07626           5998
果      U+0679C           5997
校      U+06821           5989
吉      U+05409           5986
庵      U+05EB5           5982
霧      U+09727           5980
汪      U+06C6A           5972
茲      U+08332           5953
旋      U+065CB           5947
双      U+053CC           5936
博      U+0535A           5931
跡      U+08DE1           5927
輿      U+08F3F           5921
簾      U+07C3E           5909
记      U+08BB0           5903
條      U+0689D           5900
掃      U+06383           5893
布      U+05E03           5871
祠      U+07960           5870
弦      U+05F26           5867
運      U+0904B           5863
腸      U+08178           5853
凌      U+051CC           5846
供      U+04F9B           5836
遍      U+0904D           5831
勢      U+052E2           5825
漏      U+06F0F           5820
苑      U+082D1           5811
壑      U+058D1           5806
樽      U+06A3D           5804
亡      U+04EA1           5802
遷      U+09077           5796
升      U+05347           5783
姚      U+059DA           5772
宰      U+05BB0           5765
融      U+0878D           5761
踏      U+08E0F           5755
津      U+06D25           5753
總      U+07E3D           5751
甲      U+07532           5750
披      U+062AB           5750
差      U+05DEE           5742
惡      U+060E1           5741
壺      U+058FA           5741
置      U+07F6E           5726
賈      U+08CC8           5720
旅      U+065C5           5711
桐      U+06850           5708
夔      U+05914           5706
澗      U+06F97           5703
權      U+06B0A           5690
繁      U+07E41           5687
陪      U+0966A           5668
特      U+07279           5658
迴      U+08FF4           5649
当      U+05F53           5647
輪      U+08F2A           5646
懸      U+061F8           5632
禽      U+079BD           5615
彩      U+05F69           5614
点      U+070B9           5612
两      U+04E24           5598
裳      U+088F3           5591
降      U+0964D           5582
農      U+08FB2           5577
豆      U+08C46           5568
營      U+071DF           5567
怕      U+06015           5557
奴      U+05974           5557
請      U+08ACB           5556
应      U+05E94           5544
尾      U+05C3E           5527
繞      U+07E5E           5526
襟      U+0895F           5525
羊      U+07F8A           5520
腰      U+08170           5510
迹      U+08FF9           5504
憑      U+06191           5495
續      U+07E8C           5483
兰      U+05170           5482
潭      U+06F6D           5482
柏      U+067CF           5470
淲      U+06DF2           5464
旗      U+065D7           5460
倦      U+05026           5455
詳      U+08A73           5454
右      U+053F3           5429
