Char   Codepoint     Frequency
亥      U+04EA5            812
恬      U+0606C            812
顰      U+09870            812
秧      U+079E7            810
個      U+0500B            809
枋      U+0678B            808
閏      U+0958F            808
泽      U+06CFD            807
葺      U+0847A            807
痴      U+075F4            806
撞      U+0649E            806
摸      U+06478            806
态      U+06001            804
锺      U+0953A            804
鸦      U+09E26            804
蓦      U+084E6            804
掣      U+063A3            804
瑚      U+0745A            803
臉      U+081C9            803
韜      U+097DC            803
例      U+04F8B            802
纂      U+07E82            802
旒      U+065D2            802
緇      U+07DC7            802
麋      U+09E8B            801
戌      U+0620C            801
蚊      U+0868A            801
蓴      U+084F4            801
漣      U+06F23            801
陆      U+09646            800
广      U+05E7F            800
褰      U+08930            800
隘      U+09698            798
緬      U+07DEC            798
煖      U+07156            797
蠡      U+08821            796
异      U+05F02            796
黻      U+09EFB            796
蝦      U+08766            796
变      U+053D8            795
铁      U+094C1            794
斫      U+065AB            793
詣      U+08A63            792
牋      U+0724B            791
煥      U+07165            791
冲      U+051B2            790
渥      U+06E25            790
蕖      U+08556            790
篙      U+07BD9            790
嶇      U+05D87            790
层      U+05C42            789
儘      U+05118            789
籀      U+07C40            788
駱      U+099F1            786
豚      U+08C5A            785
謳      U+08B33            785
损      U+0635F            785
徂      U+05F82            783
姐      U+059D0            783
讚      U+08B9A            783
禧      U+079A7            782
螭      U+087AD            781
駟      U+099DF            779
酷      U+09177            779
霅      U+09705            779
阔      U+09614            778
曜      U+066DC            777
彎      U+05F4E            777
轩      U+08F69            776
橈      U+06A48            775
瞰      U+077B0            774
达      U+08FBE            773
閔      U+09594            772
眩      U+07729            772
坑      U+05751            772
穰      U+07A70            772
婚      U+05A5A            772
拚      U+062DA            772
菖      U+083D6            772
驄      U+09A44            772
縫      U+07E2B            772
惻      U+060FB            771
犁      U+07281            771
租      U+079DF            771
璨      U+074A8            771
请      U+08BF7            770
裔      U+088D4            770
暂      U+06682            770
烧      U+070E7            770
蝸      U+08778            770
諳      U+08AF3            770
芰      U+082B0            769
梭      U+068AD            768
癖      U+07656            768
呀      U+05440            768
屹      U+05C79            767
摶      U+06476            767
捉      U+06349            766
誕      U+08A95            766
蚤      U+086A4            763
唳      U+05533            762
箱      U+07BB1            760
仪      U+04EEA            758
沂      U+06C82            758
龕      U+09F95            758
惑      U+060D1            757
腾      U+0817E            757
炬      U+070AC            757
産      U+07523            756
閶      U+095B6            753
耘      U+08018            752
潯      U+06F6F            752
嬋      U+05B0B            750
啾      U+0557E            749
腮      U+0816E            749
闹      U+095F9            748
債      U+050B5            748
尸      U+05C38            747
檠      U+06AA0            746
諭      U+08AED            746
堕      U+05815            745
戢      U+06222            744
鈿      U+0923F            744
状      U+072B6            743
曦      U+066E6            742
栩      U+06829            742
献      U+0732E            741
准      U+051C6            741
曛      U+066DB            740
創      U+05275            739
繆      U+07E46            738
臧      U+081E7            737
酲      U+09172            737
譬      U+08B6C            736
领      U+09886            735
笏      U+07B0F            735
敛      U+0655B            733
鼙      U+09F19            733
鳶      U+09CF6            732
霁      U+09701            732
伫      U+04F2B            731
磧      U+078E7            731
顿      U+0987F            730
众      U+04F17            729
瀝      U+0701D            729
穗      U+07A57            728
繚      U+07E5A            728
蕨      U+08568            727
跂      U+08DC2            727
蛛      U+086DB            726
邢      U+090A2            725
梗      U+06897            724
誥      U+08AA5            722
甯      U+0752F            722
頒      U+09812            721
賸      U+08CF8            720
庖      U+05E96            719
曷      U+066F7            718
豺      U+08C7A            718
玕      U+07395            718
蜡      U+08721            718
詢      U+08A62            718
努      U+052AA            717
俸      U+04FF8            717
睦      U+07766            716
睨      U+07768            716
牵      U+07275            716
养      U+0517B            715
箋      U+07B8B            715
廛      U+05EDB            714
旃      U+065C3            714
睿      U+0777F            713
迁      U+08FC1            713
尔      U+05C14            713
謗      U+08B17            713
懿      U+061FF            712
荐      U+08350            712
绡      U+07EE1            712
駢      U+099E2            712
踪      U+08E2A            711
臞      U+081DE            710
杓      U+06753            709
芋      U+0828B            708
肘      U+08098            707
餠      U+09920            707
甜      U+0751C            706
喉      U+05589            706
抛      U+0629B            705
崙      U+05D19            705
姻      U+059FB            705
塚      U+0585A            705
芦      U+082A6            704
猗      U+07317            703
鵷      U+09D77            703
楸      U+06978            702
翟      U+07FDF            701
邃      U+09083            700
襦      U+08966            700
另      U+053E6            700
嗤      U+055E4            700
啓      U+05553            700
巽      U+05DFD            699
皂      U+07682            697
甑      U+07511            696
讎      U+08B8E            696
邸      U+090B8            695
绵      U+07EF5            695
纸      U+07EB8            695
箏      U+07B8F            694
甥      U+07525            693
盂      U+076C2            693
彫      U+05F6B            692
禿      U+079BF            692
汤      U+06C64            691
诏      U+08BCF            691
